"","materialSampleID","principalInvestigator","sampleOwnerInstitutionCode","fundingSource","preservative","establishmentMeans","habitat","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferenceProtocol","country","stateProvince","island","basisOfIdentification","genus","species","vernacularName","phylum","class","order","family","wormsID","monthCollected","yearCollected","permitInformation","locality"
"1","Acaoli_174","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623934","DMSO","native","marine coral reef biome",21.5,-157.75,NA,"Google Earth","USA","Hawaii","Oahu","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Oahu"
"2","Acaoli_175","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623934","DMSO","native","marine coral reef biome",21.5,-157.75,NA,"Google Earth","USA","Hawaii","Oahu","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Oahu"
"3","Acaoli_181","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623934","DMSO","native","marine coral reef biome",21.5,-157.75,NA,"Google Earth","USA","Hawaii","Oahu","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Oahu"
"4","Acaoli_259","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623802","DMSO","native","marine coral reef biome",1.885,-157.432919,NA,"Google Earth","Kiribati",NA,"Kiritimati","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Kiritimati"
"5","Acaoli_260","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623803","DMSO","native","marine coral reef biome",1.885,-157.432919,NA,"Google Earth","Kiribati",NA,"Kiritimati","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Kiritimati"
"6","Acaoli_262","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623805","DMSO","native","marine coral reef biome",1.885,-157.432919,NA,"Google Earth","Kiribati",NA,"Kiritimati","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Kiritimati"
"7","Acaoli_263","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623806","DMSO","native","marine coral reef biome",1.885,-157.432919,NA,"Google Earth","Kiribati",NA,"Kiritimati","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Kiritimati"
"8","Acaoli_264","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623807","DMSO","native","marine coral reef biome",1.885,-157.432919,NA,"Google Earth","Kiribati",NA,"Kiritimati","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Kiritimati"
"9","Acaoli_267","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623810","DMSO","native","marine coral reef biome",1.885,-157.432919,NA,"Google Earth","Kiribati",NA,"Kiritimati","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Kiritimati"
"10","Acaoli_269","Brian Bowen","UH","National Science Foundation OIA0554657, OCE-0453167, and OCE-0623812","DMSO","native","marine coral reef biome",1.885,-157.432919,NA,"Google Earth","Kiribati",NA,"Kiritimati","Morphology","Acanthurus","olivaceus","Orangeband Surgeonfish","Chordata","Actinopterygii","Perciformes","Acanthuridae",219625,8,2008,"Bowen permit archive","Kiritimati"
