phylum,class,order,family,genus,genus.species,,Taxon,Genus_species_locus
Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna maxima,,Mollusca,Tridacna_maxima_CO1
Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna costata,,Mollusca,Tridacna_costata_CO1
Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna crocea,,Mollusca,Tridacna_crocea_CO1
Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita,Nerita albicilla,,Mollusca,Nerita_albicilla_CO1
Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita,Nerita plicata,,Mollusca,Nerita_plicata_CO1
Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Thyca,Thyca crystallina,,Mollusca,Thyca_crystallina_CO1
Arthropoda,Malacostraca,Decapoda,Palaemonidae,Periclimenes,Periclimenes soror,,Arthropoda,Periclimenes_soror_CO1
Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus penicillatus,,Arthropoda,Panulirus_penicillatus_CO1
Arthropoda,Malacostraca,Decapoda,Stenopodidae,Stenopus,Stenopus hispidus,,Arthropoda,Stenopus_hispidus_CO1
Arthropoda,Malacostraca,Stomatopoda,Protosquillidae,Haptosquilla,Haptosquilla glyptocercus,,Arthropoda,Haptosquilla_glyptocercus_CO1
Echinodermata,Asteroidea,Valvatida,Acanthasteridae,Acanthaster,Acanthaster planci,,Echinodermata,Acanthaster_planci_CO1
Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia laevigata,,Echinodermata,Linckia_laevigata_CO1
Echinodermata,Asteroidea,Valvatida,Oreasteridae,Culcita,Culcita novaeguineae,,Echinodermata,Culcita_novaeguineae_CO1
Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Tripneustes,Tripneustes gratilla,,Echinodermata,Tripneustes_gratilla_CO1
Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,Diadema paucispinum,,Echinodermata,Diadema_paucispinum_A68
Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,Diadema savignyi,,Echinodermata,Diadema_savignyi_A68
Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,Diadema setosum,,Echinodermata,Diadema_setosum_A68
Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,Holothuria atra,,Echinodermata,Holothuria_atra_CO1
Chordata,Actinopterygii,Beryciformes,Holocentridae,Neoniphon,Neoniphon sammara,,Holocentridae,Neoniphon_sammara_CYB
Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricans,,Acanthuridae,Acanthurus_nigricans_CYB
Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,,Acanthuridae,Acanthurus_nigrofuscus_CYB
Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus,,Acanthuridae,Acanthurus_olivaceus_CYB
Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus,,Acanthuridae,Acanthurus_triostegus_A68
Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus,,Acanthuridae,Acanthurus_lineatus_CR
Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon,,Acanthuridae,Acanthurus_leucosternon_CYB
Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus striatus,,Acanthuridae,Ctenochaetus_striatus_CR
Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,Naso unicornis,,Acanthuridae,Naso_unicornis_CR
Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,Naso hexacanthus,,Acanthuridae,Naso_hexacanthus_CO1
Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,Naso brevirostris,,Acanthuridae,Naso_brevirostris_CR
Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,Zebrasoma flavescens,,Acanthuridae,Zebrasoma_flavescens_CYB
Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon auriga,,Chaetodontidae,Chaetodon_auriga_CYB
Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon meyeri,,Chaetodontidae,Chaetodon_meyeri_CYB
Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon ornatissimus,,Chaetodontidae,Chaetodon_ornatissimus_CYB
Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon trifasciatus,,Chaetodontidae,Chaetodon_trifasciatus_CO1
Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena,Coryphaena hippurus,,Other Fish,Coryphaena_hippurus_ND1
Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres trimaculatus,,Labridae,Halichoeres_trimaculatus_CO1
Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres margaritaceus,,Labridae,Halichoeres_margaritaceus_CR
Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres hortulanus,,Labridae,Halichoeres_hortulanus_CR
Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres claudia,,Labridae,Halichoeres_claudia_CO1
Chordata,Actinopterygii,Perciformes,Labridae,Labroides,Labroides dimidiatus,,Labridae,Labroides_dimidiatus_CR
Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus fulvus,,Lutjanidae,Lutjanus_fulvus_CYB
Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus kasmira,,Lutjanidae,Lutjanus_kasmira_CYB
Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,Pristipomoides filamentosus,,Lutjanidae,Pristipomoides_filamentosus_CYB
Chordata,Actinopterygii,Perciformes,Pomacanthidae,Centropyge,Centropyge flavissima,,Pomacanthidae,Centropyge_flavissima_CYB
Chordata,Actinopterygii,Perciformes,Pomacanthidae,Centropyge,Centropyge loricula,,Pomacanthidae,Centropyge_loricula_CYB
Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pygoplites,Pygoplites diacanthus,,Pomacanthidae,Pygoplites_diacanthus_CO1
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,Dascyllus aruanus,,Pomacentridae,Dascyllus_aruanus_CYB
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,Dascyllus trimaculatus,,Pomacentridae,Dascyllus_trimaculatus_CR
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus coelestis,,Pomacentridae,Pomacentrus_coelestis_CR
Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus psittacus,,Other Fish,Scarus_psittacus_CR
Chordata,Actinopterygii,Perciformes,Scombridae,Auxis,Auxis thazard,,Scombridae,Auxis_thazard_CR
Chordata,Actinopterygii,Perciformes,Scombridae,Katsuwonus,Katsuwonus pelamis,,Scombridae,Katsuwonus_pelamis_CR
Chordata,Actinopterygii,Perciformes,Scombridae,Scomberomorus,Scomberomorus commerson,,Scombridae,Scomberomorus_commerson_CR
Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,Cephalopholis argus,,Other Fish,Cephalopholis_argus_CYB
Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena barracuda,,Other Fish,Sphyraena_barracuda_CYB
Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus sorrah,,Other Fish,Carcharhinus_sorrah_CR
Chordata,Mammalia,Cetacea,Delphinidae,Stenella,Stenella longirostris,,Delphinidae,Stenella_longirostris_CR
