mean_K	mean_H	FST	FST_2_1	
0	0	0.0802446	0.0802446	
0	0	0.0214411	0.0214411	
0	0	-0.0288982	-0.0288982	
0	0	-0.00634882	-0.00634882	
0	0	0.145836	0.145836	
0	0	-0.0194571	-0.0194571	
0	0	0.0331875	0.0331875	
0	0	-0.0351187	-0.0351187	
0	0	0.0627963	0.0627963	
0	0	0.0167352	0.0167352	
0	0	-0.0230499	-0.0230499	
0	0	0.0199222	0.0199222	
0	0	0.0319124	0.0319124	
0	0	0.0100528	0.0100528	
0	0	0.116407	0.116407	
0	0	-0.0127346	-0.0127346	
0	0	0.0348866	0.0348866	
0	0	-0.00265088	-0.00265088	
0	0	0.0224062	0.0224062	
0	0	0.0311956	0.0311956	
0	0	0.0942591	0.0942591	
0	0	0.112473	0.112473	
0	0	-0.0116161	-0.0116161	
0	0	0.0632142	0.0632142	
0	0	-0.00131857	-0.00131857	
0	0	0.0940494	0.0940494	
0	0	0.0100749	0.0100749	
0	0	0.171123	0.171123	
0	0	-0.0363354	-0.0363354	
0	0	0.0155602	0.0155602	
0	0	-0.0344268	-0.0344268	
0	0	-0.0179331	-0.0179331	
0	0	0.146337	0.146337	
0	0	0.0456951	0.0456951	
0	0	0.179739	0.179739	
0	0	0.00197863	0.00197863	
0	0	-0.00665223	-0.00665223	
0	0	0.120052	0.120052	
0	0	-0.00534914	-0.00534914	
0	0	0.0723116	0.0723116	
0	0	-0.0132572	-0.0132572	
0	0	0.0987368	0.0987368	
0	0	0.0168908	0.0168908	
0	0	0.0358689	0.0358689	
0	0	0.112487	0.112487	
0	0	0.241684	0.241684	
0	0	-0.0234071	-0.0234071	
0	0	0.0317476	0.0317476	
0	0	0.0759381	0.0759381	
0	0	-0.0177732	-0.0177732	
0	0	0.015942	0.015942	
0	0	0.00304276	0.00304276	
0	0	0.0274524	0.0274524	
0	0	0.0856084	0.0856084	
0	0	0.0510847	0.0510847	
0	0	-0.0143276	-0.0143276	
0	0	-0.0268088	-0.0268088	
0	0	0.0647984	0.0647984	
0	0	-0.0397679	-0.0397679	
0	0	0.00658522	0.00658522	
0	0	0.110785	0.110785	
0	0	0.0145577	0.0145577	
0	0	-0.0274265	-0.0274265	
0	0	-0.0225749	-0.0225749	
0	0	0.10538	0.10538	
