mean_K	mean_H	FST	FST_2_1	
0	0	0.631579	0.631579	
0	0	0.833333	0.833333	
0	0	8.48994e-17	9.14301e-17	
0	0	7.06506e-17	7.06506e-17	
0	0	0	0	
0	0	4.85723e-17	4.85723e-17	
0	0	-1.75785e-16	-1.75785e-16	
0	0	-1.75785e-16	-1.75785e-16	
0	0	-1.75785e-16	-1.75785e-16	
0	0	0.645161	0.645161	
0	0	-5.55112e-17	-4.7581e-17	
0	0	0.784314	0.784314	
0	0	1.62263e-16	1.70804e-16	
0	0	7.06506e-17	7.06506e-17	
0	0	-5.55112e-17	-4.7581e-17	
0	0	7.06506e-17	7.06506e-17	
0	0	0.0280702	0.0280702	
0	0	0.571429	0.571429	
0	0	-5.55112e-17	-4.7581e-17	
0	0	0.0116959	0.0116959	
0	0	0.0394737	0.0394737	
0	0	4.85723e-17	4.85723e-17	
0	0	0.0161943	0.0161943	
0	0	7.06506e-17	7.06506e-17	
0	0	0.0105263	0.0105263	
0	0	0.645161	0.645161	
0	0	-5.55112e-17	-4.7581e-17	
0	0	0.0105263	0.0105263	
0	0	-8.01828e-17	-8.01828e-17	
0	0	0.00956938	0.00956938	
0	0	7.06506e-17	7.06506e-17	
0	0	0.0131579	0.0131579	
0	0	0.802105	0.802105	
0	0	0.869565	0.869565	
0	0	0	0	
0	0	0.0116959	0.0116959	
0	0	0.777328	0.777328	
0	0	0.0105263	0.0105263	
0	0	0.555556	0.555556	
0	0	0.689655	0.689655	
0	0	0	0	
0	0	0.666667	0.666667	
0	0	0.84507	0.84507	
0	0	0.769231	0.769231	
0	0	4.85723e-17	4.85723e-17	
0	0	-5.55112e-17	-4.7581e-17	
0	0	0.00956938	0.00956938	
0	0	0.833333	0.833333	
0	0	-1.75785e-16	-1.75785e-16	
0	0	-1.75785e-16	-1.75785e-16	
0	0	0	0	
0	0	0.851064	0.851064	
0	0	0.00877193	0.00877193	
0	0	4.85723e-17	4.85723e-17	
0	0	0.885449	0.885449	
0	0	0.871091	0.871091	
0	0	0.00956938	0.00956938	
0	0	4.85723e-17	4.85723e-17	
0	0	0.666667	0.666667	
0	0	0.00877193	0.00877193	
0	0	7.06506e-17	7.06506e-17	
0	0	-5.55112e-17	-4.7581e-17	
0	0	0.60925	0.60925	
0	0	0.0150376	0.0150376	
0	0	0.689655	0.689655	
0	0	0.0247678	0.0247678	
0	0	0.714286	0.714286	
0	0	0.0210526	0.0210526	
0	0	-1.75785e-16	-1.75785e-16	
0	0	0.851064	0.851064	
0	0	0.0263158	0.0263158	
0	0	1.62263e-16	1.70804e-16	
0	0	0.666667	0.666667	
0	0	0.666667	0.666667	
0	0	0	0	
0	0	0.793629	0.793629	
0	0	-1.75785e-16	-1.75785e-16	
0	0	0.666667	0.666667	
0	0	0	0	
0	0	0.718045	0.718045	
0	0	0.888889	0.888889	
0	0	0.512821	0.512821	
0	0	0.855543	0.855543	
0	0	7.06506e-17	7.06506e-17	
0	0	0.631579	0.631579	
